,Hotels,Prices,Descriptions,Full_Descriptions
12,Hotel del Mar,"€ 1,355",2 single beds,"You're eligible for a Genius discount at Hotel del Mar! To save at this property, all you have to do is sign in.
Hotel del Mar is set in a listed building just 800 metres from the seafront and Barceloneta Metro Station. It is a 5-minute walk from the trendy Born neighbourhood and Ciutadella Park.

The air-conditioned rooms at Hotel del Mar have flat-screen satellite TV. There is a private bathroom with a hairdryer and amenities, and some rooms have a private balcony. A safe is also available with a surcharge.

Hotel del Mar has a 24-hour front desk. Barcelona’s França Train Station is a 5-minute walk away, and you can walk to Barcelona Cathedral and Maremagnum Shopping Centre in 10 minutes. Parking is available 5 minutes' walk from the property."
13,Hotel Via Augusta,"€ 1,180",1 double bed,"Situated next to Gràcia FGC Train Station, Hotel Via Augusta has a rooftop terrace with views of Barcelona. It offers functional, air-conditioned rooms with free Wi-Fi and flat-screen satellite TV.

The Via Augusta is a historic building with a beautiful original foyer. Rooms have simple, modern décor and wooden floors. They include a work desk, a safe and a bathroom with a hairdryer.

A varied breakfast buffet is served in the hotel, and drinks are available from the vending machine. A wide range of bars and restaurants can be found in the popular Gràcia district, within a 5-minute walk.

Hotel Via Augusta is 400 metres from Fontana Metro Station, and Parc Güell is just 1 Metro stop away. Plaza Catalunya and Las Ramblas are a 5-minute journey from nearby Gracia Station."
14,Catalonia Park Güell,€ 980,Beds: 1 double or 2 singles,"Free Wi-Fi and a rooftop swimming pool are offered at Catalonia Park Güell. It is set in a residential area just outside Barcelona’s historic centre, 600 metres from Parc Güell.

Rooms at the hotel are simple and comfortable, with air conditioning or heated and satellite TV. There is also a restaurant, bar.

The Catalonia Park Güell is just 300 metres from Vallcarca Metro Station. This gives access to the city centre within 10 minutes. Stops for buses V19 and 22 are nearby. The sun terrace offers views over the city.

The hotel is close to some of Barcelona’s most famous medical centres. These include the Delfos and Quiron Clinics.

There are many sports clubs and parks around the hotel. The popular Gràcia district is also a short walk away. It has lively squares with bars and restaurants."
15,Acta CITY47,"€ 1,320",1 double bed,"Acta CITY47 is 5 minutes’ walk from Barcelona Sants Train Station and 15 minutes from the Fira Exhibition Centre. It offers a 24-hour reception and air-conditioned rooms with free WiFi.

The rooms at Acta CITY47 feature simple, modern décor and a private bathroom. Each one comes with a TV, free safe, and a work desk. Guests have free access to an ironing room open 24 hours.

The hotel’s modern Nass City restaurant serves international food and a gluten-free breakfast is available on prior request. There is also a bar where you can get a snack or a drink.

The Acta CITY47 is 20 minutes’ walk from Barcelona FC’s Camp Nou Stadium. Sants Metro Station connects you with the centre of Barcelona in 15 minutes."
16,Barcelona Centric,€ 770,1 large double bed,"Attractively set in the Ciutat Vella district of Barcelona, Barcelona Centric is situated 2.5 km from Sant Miquel Beach, 2.6 km from Barceloneta Beach and 600 metres from Boqueria Market. The property is set 600 metres from Plaça Reial, 1.5 km from Passeig de Gracia and 1.2 km from Plaça Catalunya. The property is less than 1 km from the city centre and 2.5 km from Sant Sebastian Beach.

With a shared bathroom fitted with a shower and a hairdryer, rooms at the hostel also boast free WiFi, while certain rooms come with a balcony. At Barcelona Centric rooms have bed linen and towels.

Popular points of interest near the accommodation include Santa Maria del Mar, Picasso Museum and Cathedral of Barcelona. The nearest airport is Barcelona El Prat Airport, 12 km from Barcelona Centric."
17,AC Hotel Irla by Marriott,"€ 1,676",1 large double bed,"The AC Hotel Irla is located 200 metres from Diagonal and Francesc Macià Square. The hotel has stylish and comfortable rooms, a fitness centre and 24-hour reception.

Rooms at this hotel are spacious and feature contemporary décor. All rooms have air conditioning, minibar and private bathroom.

Facilities at the Irla include Turkish baths, café-bar and free Wi-Fi access in public areas.

Guests can enjoy breakfast in the Irla’s restaurant. There are also bars, cafes and restaurants in the area surrounding Francesc Macià.

Attractions such as Casa Batlló, Casa Mila and Plaça de Catalunya are within 30 minutes’ walk of the AC Hotel Irla. The hotel is close to bus and tram connections and is a 20-minute walk from the Metro station, Diagonal."
18,Catalonia Atenas,"€ 1,649",Beds: 1 double or 2 singles,"You're eligible for a Genius discount at Catalonia Atenas! To save at this property, all you have to do is sign in.
Set 3 metro stops from central Barcelona, the Atenas Catalonia has a rooftop swimming pool, offering views of the nearby Torre Agbar and Sagrada Familia. It also features free WiFi, a gym and a spa with a Turkish bath.

The bright rooms of Hotel Atenas Barcelona have simple décor with wooden flooring. Each has air conditioning, a mini fridge with complimentary water, and satellite TV.

The hotel's buffet breakfast features a show kitchen. There is a snack bar and guests can enjoy stunning city views from the pool, set on the 11th floor.

The Sagrada Familia is just over one kilometre from the hotel, while Glòries shopping centre can be reached in 15 minutes by foot.

The Catalonia Atenas has a convenient left luggage service, on-site parking, and is 2 minutes’ walk from Clot Metro Station; and 200 metres from Clot Train Station; here you can take a direct train to Barcelona Airport."
19,Hotel Rialto,"€ 1,355",2 single beds,"Situated just off famous La Rambla Boulevard in central Barcelona, Hotel Rialto occupies a historic building where the artist Joan Miró was born. It offers air-conditioned rooms with flat-screen TV.

Each room at the Rialto Hotel Barcelona has wooden floors and a simple, functional design. The modern bathrooms include basic toiletries. Safes are available to rent.

Guests can enjoy a varied buffet breakfast and delicious Mediterranean meals at the Rialto’s Miró restaurant. There are also many restaurants and lively bars in the surrounding streets. 

Hotel Rialto’s 24-hour reception offers information about the city. The Boquería Market and Barcelona Cathedral are both within 400 metres. Liceu Metro Station is only 300 metres away, and Plaza Catalunya is a 10-minute walk from the hotel."
20,Hotel Paxton Barcelona,"€ 2,735",Beds: 1 double or 2 singles,"You're eligible for a Genius discount at Hotel Paxton Barcelona! To save at this property, all you have to do is sign in.
Located in Barcelona, 1 km from Bogatell Beach, Hotel Paxton Barcelona provides accommodation with a seasonal outdoor swimming pool, private parking, a fitness centre and a shared lounge. This 4-star hotel offers room service, a 24-hour front desk and free WiFi. Certain rooms at the property include a terrace with a city view.

The hotel will provide guests with air-conditioned rooms offering a desk, a coffee machine, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a shower. At Hotel Paxton Barcelona each room comes with bed linen and towels.

Guests at the accommodation can enjoy a buffet breakfast. At Hotel Paxton Barcelona you will find a restaurant serving Italian and Spanish cuisine. Vegetarian, dairy-free and gluten-free options can also be requested.

Popular points of interest near the hotel include Mar Bella Beach, Nova Icaria Beach and Port Olimpic. The nearest airport is Barcelona El Prat Airport, 16 km from Hotel Paxton Barcelona."
21,Hotel Ronda Lesseps,"€ 1,291",1 double bed,"The Hotel Ronda Lesseps is a quiet and familiar establishment, with two beautiful interior terraces full of plants that allow our guests to relax during their stay in our city.

The Hotel is located in the metropolitan heart of Barcelona, with very good communication by public transport, very close to the historic district of Gràcia and just at a ten minutes’ walk from Antoni Gaudí's Park Güell.

License number: HB-004338"
22,Hotel Glòries,"€ 1,103",Beds: 1 double or 2 singles,"This modern hotel is located 200 metres from Barcelona’s Monumental Bull Ring and 12 minutes from the Sagrada Familia. The rooms all have air conditioning and heating, satellite TV and free Wi-Fi.

Monumental Metro Station is just 3 minutes’ walk away from Hotel Glòries, and offers a direct service to Plaza Catalunya in around 5 minutes.

The hotel is well located for the 22@ high-tech area, as well as the Agbar Tower. The National Theatre of Catalunya and the Auditori Concert Hall are just 400 metres away.

The Hotel Glòries’s 24-hour front desk offers car and bike hire. They can also exchange currency and reserve tickets."
23,TWO Hotel Barcelona by Axel 4* Sup- Adults Only,"€ 1,354",1 large double bed,"Offering a rooftop pool with a large sun terrace, TWO Hotel Barcelona by Axel is located in the heart of the gay district of Barcelona, 2 km from Barceloneta Beach.

The hetero-friendly hotel offers on-site private parking. There is also a  24-hour reception and guests can get information on the gay scene and the city at the on-site tour desk. On the rooftop guests will also find the Sky bar, gym, steam bath and a massage room.

Each room here will provide you with air conditioning and a minibar. Featuring a shower, private bathroom also comes with a hairdryer. A safety deposit box and a universal phone charger are also provided.

Guests can sample a drink at the rooftop bar, whilst taking in stunning city views or enjoy the delicious cocktails served in the Lounge Bar. A buffet breakfast is available and free high-speed WiFi access is provided throughout.

Staff can give information about the surrounding area, which is known as ""Gayxample"" because of its lively gay nightlife.

The hotel is 2 minutes' walk from Rocafort Metro Station and Plaça d'Espanya, with direct buses to Barcelona Airport, is a 10-minute walk away. Paral·lel, with bars, restaurants, clubs and theatres is 1.3 km from TWO Hotel Barcelona by Axel."
24,Pestana Arena Barcelona,"€ 1,188",1 extra-large double bed,"You're eligible for a Genius discount at Pestana Arena Barcelona! To save at this property, all you have to do is sign in.
Pestana Arena Barcelona is less than 5 minutes’ walk from Barcelona’s Plaza Espanya and Fira Exhibition Centre. It offers a gym, sauna and modern, air-conditioned rooms with free wired internet access.

Some rooms offers free use of the Maritimo Meeting Room, up to 12 people, for private meetings.

Pestana Arena Barcelona is just 3 minutes’ walk from Las Arenas Shopping Centre and you can walk to Sants Station in 8 minutes. You can get to the Rambla in 5 minutes from Plaza Espanya Metro.

Rooms feature parquet floors and stylish décor. Each one has work desk, a pillow menu and an LCD TV with satellite channels.

The hotel’s restaurant serves Mediterranean food and has a terrace. There is also a bar where you can get a snack or a drink. The hotel's breakfast includes products for celiacs."
25,SM Hotel Sant Antoni,"€ 1,185",Beds: 1 double or 2 singles,"Situated 5 minutes' walk from the Sagrada Familia, this stylish, modern hotel offers a 24-hour reception desk and free Wi-Fi access available throughout. Monumental Metro Station is 200 metres away.

Rooms at SM Hotel Sant Antoni feature parquet floors, a safe, work desk and flat-screen TV. Decorated in white, black and red tones, they have air conditioning and heating, and the private bathroom comes with a hairdryer and toiletries.

The Sant Antoni offers a continental buffet breakfast, and drinks and snacks are available from the vending machines. A wide range of cafés and restaurants can be found within a 5-minute walk.

SM Hotel Sant Antoni is 900 metres from L’Auditori Concert Hall and the National Theatre. Glòries Shopping Centre and Passeig de Gràcia Boulevard can both be reached within a 20-minute walk. You can reach Plaza Catalunya in 10 minutes by bus or metro."
26,Hotel Boutique Mirlo Barcelona,"€ 1,902",1 extra-large double bed,"Get the celebrity treatment with world-class service at Hotel Boutique Mirlo Barcelona
You're eligible for a Genius discount at Hotel Boutique Mirlo Barcelona! To save at this property, all you have to do is sign in.
Hotel Boutique Mirlo Barcelona features a garden, shared lounge, a restaurant and bar in Barcelona. This 5-star hotel offers room service, a 24-hour front desk and free WiFi. A spa and wellness centre comprising a sauna, an outdoor swimming pool, a hot tub, as well as a terrace can be used by all guests.

The hotel will provide guests with air-conditioned rooms offering a desk, a coffee machine, a fridge, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a bidet. The rooms are fitted with a kettle, while selected rooms will provide you with a patio and others also have city views. At Hotel Boutique Mirlo Barcelona all rooms are fitted with bed linen and towels.

The accommodation offers a buffet or à la carte breakfast.

Park Güell is 2 km from Hotel Boutique Mirlo Barcelona, while La Pedrera is 3.6 km away. The nearest airport is Barcelona El Prat Airport, 16 km from the hotel."
27,Casa Lit Barcelona by Ona,"€ 1,562",1 double bed,"You're eligible for a Genius discount at Casa Lit Barcelona by Ona! To save at this property, all you have to do is sign in.
Situated 400 metres from Las Ramblas, Casa Lit Barcelona by Ona offers a rooftop terrace with city and sea views. The rooms include free Wi-Fi and flat-screen satellite TV.

The hotel has a courtyard, where you can enjoy a buffet breakfast. Each open-plan room has air conditioning.

Casa Lit Barcelona by Ona have a 24-hour reception, where staff can arrange restaurant bookings, tickets for shows or guided tours of Barcelona. Free city maps are also available.

The hotel is located at the bottom of the lively Raval district, just 700 metres from Barcelona Port. Drassanes and Paral•lel Metro Stations are both within 300 metres."
28,Catalonia Catedral,"€ 2,129",Beds: 1 double or 2 singles,"You're eligible for a Genius discount at Catalonia Catedral! To save at this property, all you have to do is sign in.
The Catalonia Catedral is set in a traditional Modernist building, just 100 metres from Barcelona Cathedral. It offers free use of Smartphones, Wi-Fi access, a rooftop seasonal pool and a Japanese-style terrace and garden.

The Catedral has stylish rooms, which have contemporary décor. Each has a flat-screen smart TV equipped with Chromecast app, air conditioning, a minibar, a Nespresso machine. A smartphone is available for guests during their stay free of charge.

The hotel’s Ascent Restaurant by Eboca serves Mediterrean cuisine and offers views of the nearby Palacio Pignatelli Art Gallery. There is also a bar in the hotel lobby where guests can use the computers with internet access and printers for free.

The Catalonia Catedral is around 10 minutes’ walk from landmarks such as Las Ramblas and Plaza de Catalunya Square. Barcelona’s Old Port and Marina are less than one kilometre away. Jaume I Metro Station is 5 minutes' walk away."
29,Hotel Cantón,"€ 2,766","2 beds (1 single, 1 large double)","Hotel Cantón is situated in central Barcelona, less than 300 metres from Las Ramblas and the city’s Old Port. It offers 24-hour reception and rooms with satellite TV and free Wi-Fi access throughout.

The Cantón has brightly decorated rooms with private bathrooms. Each has a fridge, air conditioning and heating.

The Cantón serves a daily breakfast and has a vending machine selling hot drinks. Guests can make use of the hotel’s TV room, where there is also computer.

The Cantón has easy access to many of Barcelona’s tourist attractions and has a tour desk. Plaza Reial is less than 5 minutes’ walk from the hotel and there are several bars and restaurants within walking distance.

Drassanes Metro Station is under 500 metres from the Cantón and Sants Train Station is 5 stops away."
30,One bedroom Apartment in Eixample !,"€ 1,142",Managed by a private host,"Featuring air-conditioned accommodation with a terrace, One bedroom Apartment in Eixample! is set in Barcelona. It is located less than 1 km from Sants Railway Station and provides a lift. Casa Batllo is 2.9 km away and Camp Nou is 3.1 km from the apartment.

With free WiFi, this 1-bedroom apartment offers a flat-screen TV, a washing machine and a fully equipped kitchen with a fridge. Towels and bed linen are featured in the apartment.

Magic Fountain of Montjuic is 2 km from the apartment, while La Pedrera is 2.8 km away. The nearest airport is Barcelona El Prat Airport, 12 km from One bedroom Apartment in Eixample!."
31,Hotel Viladomat by Silken,"€ 1,094",Beds: 1 double or 2 singles,"You're eligible for a Genius discount at Hotel Viladomat by Silken! To save at this property, all you have to do is sign in.
Conveniently located less than 10 minutes’ walk from Hospital Clinic Metro Station, Hotel Viladomat by Silken is located in Barcelona. This property features free WiFi and an on-site bar.

Each room at this property is air conditioned and has satellite TV, safe, desk, and minibar. The private bathroom includes a bath, shower, hairdryer, and free toiletries.

Hotel Viladomat by Silken has a 24-hour front desk and offers a ticket service. A shuttle to the airport is available for an extra charge, and there is luggage storage on site.

Plaza Catalunya and Barcelona’s famous Las Ramblas are 20 minutes away by foot. The friendly staff are happy to provide information on the city and its main points of interest. Sants Station is 1 km away from Hotel Viladomat by Silken, with direct links to Barcelona Airport."
32,Catalonia Gran Via BCN,"€ 1,634",Beds: 1 double or 2 singles,"You're eligible for a Genius discount at Catalonia Gran Via BCN! To save at this property, all you have to do is sign in.
Catalonia Gran Via BCN is set on Gran Vía and within 5 minutes’ walk of Urgell and Universitat Metro Stations, and beside the airport bus stop. It features an outdoor swimming pool, a gym and free Wi-Fi.

Each of the modern rooms at Catalonia Gran Via BCN is themed around a different city and air travel. All rooms have flat-screen TVs with satellite channels and an iPod docking station.

You can enjoy breakfast in Catalonia Gran Via BCN, while à la carte options are offered in the Gourmet Corner.

You can walk to both Plaza Catalunya and Las Ramblas in 10 minutes. Plaza de España, the Magic Fountains and the FIRA are just 2 stops from Urgell Station."
33,Hilton Barcelona,"€ 2,374",1 extra-large double bed,
34,Four Points by Sheraton Barcelona Diagonal,"€ 1,824",1 extra-large double bed,"Four Points by Sheraton Barcelona Diagonal is situated 350 metres from Glòries Shopping Centre, in the modern 22@ district of Barcelona. It offers an elegant restaurant and soundproofed rooms with free Wi-Fi and TV.

Rooms at the Four Points Barcelona Diagonal are bright and spacious, with wooden flooring. Each room has a stylish bathroom with a hairdryer and toiletries. Rooms on higher floors offer great views, some of the Sagrada Familia.

La Avenida Restaurant serves traditional Spanish cuisine. A varied buffet breakfast is offered daily, and free coffee is available from 05:00 until 07:00. Taste local crafted beers, snacks and enjoy the best sports projections at 4Taps Bar.

The Four Points Diagonal is 600 metres from the colourful Agbar Tower, designed by Jean Nouvel. There are many bars and restaurants on nearby Rambla del Poblenou, and Bogatell Beach is within a 15-minute walk. Poblenou Metro Station is only 500 metres away."
35,Hotel Astoria,"€ 1,361",Beds: 1 double or 2 singles,"Astoria is just off Barcelona’s Diagonal Avenue, a 5-minute walk from Diagonal Metro Station and Paseo de Gracia Avenue. It features a rooftop pool with views, and a gym.

The Astoria Hotel combines original Art Nouveau features with modern facilities. Air-conditioned rooms have satellite TV, a safe and minibar. They feature wooden floors and free Wi-Fi, and the modern bathrooms come with a hairdryer.

The restaurant at the Astoria offers traditional Catalan cuisine, and room service is available. There is also a terrace and a bar.

There is a 24-hour front desk"
36,Hotel SB Icaria,"€ 1,389",Beds: 1 double or 2 singles,"Located 300 metres from Barcelona’s Nova Icaria Beach, Hotel SB Icaria offers a gym, sauna and outdoor pool with sun terrace and hot tub. Rooms include free Wi-Fi and flat-screen satellite TV.

The Hotel SB Icaria’s stylish modern rooms feature wooden floors and adjustable lighting. Each room has a minibar, safe and private bathroom with a hairdryer.

The hotel’s elegant restaurant serves Mediterranean market cuisine. There is also a bar and a garden terrace.

Hotel SB Icaria is located in the Olympic Port area, a 10-minute walk from Ciutadella Park and Barcelona Zoo. Ciutadella Metro Station is 800 metres away, and is just 2 stops from Barcelona Cathedral and the historic Gothic Quarter."
37,Zenit Borrell,"€ 1,371",Beds: 1 double or 2 singles,"Zenit Borrell is located in Barcelona’s Eixample district, 15 minutes’ walk from the stylish Passeig de Gràcia Boulevard. It offers modern, soundproofed rooms with free Wi-Fi and satellite TV.

The Marés restaurant offers Mediterranean and international cuisine, and has an elegant outdoor terrace. There is also a bar with a large TV screen.

All rooms at the Zenit Borrell have air conditioning and a minibar. The private bathrooms come equipped with a hairdryer.

The tour desk can provide useful information on Barcelona and the surrounding area. The hotel is 12 minutes from Plaza Catalunya and the Ramblas by metro, while the Hospital Clinic Metro Station and hospital are 200 metres way from the hotel."
38,Silken Sant Gervasi,"€ 1,100",2 single beds,"Located in the quiet San Gervasi district of Barcelona, this elegant hotel offers modern rooms with free internet connection. The Silken is just 8 minutes by train from Plaza Catalunya.

The restaurant at Silken San Gervasi offers traditional cuisine with modern influences. A breakfast buffet is served in the cafeteria, and drinks and snacks are also available throughout the day.

Functional rooms include a free safe and central heating and air conditioning. The marble bathroom is complete with a hairdryer.

Silken St. Gervasi is a 15-minute walk from Park Guell, with impressive structures, mosaics and architecture by Antoni Gaudí. El Putxet Station can be found 50 metres from the hotel with direct access to the city centre."
39,"Casa Consell Gran Via, Guest House","€ 1,503",2 single beds,"You're eligible for a Genius discount at Casa Consell Gran Via, Guest House! To save at this property, all you have to do is sign in.
Casa Consell Gran Via, Guest House offers value-for-money and free Wi-Fi on Gran Vía, in Barcelona’s famous Eixample district. It is set 700 metres from Plaça Catalunya and Passeig de Gràcia.

The guesthouse is only 500 metres from Nord Bus Station. There is easy access to Tetuán and Girona Metro Stations.

The guesthouse is set in a historic building it has elegant décor and original features. Guests can enjoy a full equipped shared kitchen and complimentary coffee and tea during the stay.

Casa Consell Gran Via, Guest House is near many famous Modernista buildings. These include Gaudí’s Casa Batlló and the Sagrada Família. The Gothic Quarter and the Cathedral are also nearby.

Some rooms have a balcony or terrace with street views. They have an en suite bathroom, with typical ceramic tiles."
40,Leonardo Hotel Barcelona Gran Via,"€ 1,316",Multiple bed types,"This spacious and modern hotel is located in Eixample district, built in 2004, the Leonardo Hotel Barcelona Gran Via, features wide-open public spaces covered in marble.

Rooms include flat-screen TV, Wifi, safebox, desk, minibar, private bathrooms with toiletries.

A good location for tourism, you can easily walk to the Gothic Quarter and Ramblas, or up to the attractions of Montjuic. The city’s major business districts are also nearby.

Rooms include satellite TV, free Wi-Fi access, air conditioning and a bathroom with free toiletries.

Parking is available on site at an additional cost."
